timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
0,43.355827,12.036309,40.751038,3.298707
1,33.146355,6.2539854,40.664024,3.3206818
2,31.261942,5.4268394,40.572456,3.3439744
3,31.300419,6.399287,40.476234,3.368479
4,30.361856,6.4838557,40.37528,3.3941174
5,29.837887,6.288169,40.26952,3.4208298
6,29.864407,6.585782,40.158962,3.448547
7,28.934551,6.113669,40.043705,3.4771993
8,28.67774,5.8904953,39.923946,3.5067089
9,29.223032,6.126545,39.800014,3.5369775
10,28.652018,5.9074545,39.67235,3.567893
11,27.92416,5.5122848,39.541546,3.5992923
12,28.133245,5.484838,39.408215,3.6309793
13,27.868015,5.1978626,39.273033,3.6627603
14,28.093985,5.4690957,39.136623,3.6944385
15,27.74355,5.4555144,38.999523,3.7258704
16,27.625341,5.3532443,38.862183,3.7569542
17,27.526987,4.9444156,38.72495,3.7876294
18,27.436575,5.215984,38.588116,3.8178337
19,26.972483,5.29791,38.451923,3.847504
20,26.804193,5.452124,38.316525,3.8765638
21,26.68977,5.2904844,38.18202,3.904942
22,26.547888,4.8249545,38.0484,3.9325435
23,26.875217,4.813778,37.915623,3.9592328
24,26.455322,5.583956,37.783577,3.9848437
25,26.141672,5.412582,37.65215,4.009177
26,26.699772,5.0595427,37.5212,4.0320444
27,26.609898,4.8909655,37.390575,4.053311
28,26.33902,4.593902,37.260185,4.072894
29,26.363392,4.3693833,37.129974,4.090741
30,26.691183,4.339911,36.99999,4.1068296
31,26.163467,4.0847282,36.87039,4.1211114
32,26.584385,4.002672,36.741463,4.1335306
33,26.550573,4.344506,36.613556,4.144046
34,26.26452,4.4497576,36.48704,4.1526737
35,26.382797,4.3259125,36.362312,4.1594844
36,26.246552,3.7435658,36.239758,4.1646147
37,26.774042,3.4737515,36.119766,4.1682444
38,26.462671,3.6583014,36.00274,4.170586
39,26.891302,3.8696427,35.88909,4.171857
40,26.540466,3.7471037,35.77925,4.172263
41,26.59679,3.7686865,35.673668,4.171989
42,26.901068,3.6743662,35.572803,4.171179
43,26.844578,3.7814062,35.47712,4.169943
44,27.013641,3.9840577,35.387093,4.1683674
45,26.91298,4.1245556,35.303234,4.1665196
46,26.935741,3.5697646,35.22612,4.164452
47,27.099264,3.789844,35.15635,4.1622314
48,26.573364,3.494534,35.0946,4.1599226
49,27.43211,3.2298963,35.04162,4.1576123
50,27.083744,3.469406,34.99817,4.155392
51,27.240097,3.6696975,34.96508,4.1533484
52,27.533695,3.5391564,34.943146,4.1515765
53,27.663208,3.7632082,34.933117,4.150154
54,28.034525,3.4418156,34.93567,4.149161
55,28.3017,3.9395463,34.951344,4.148665
56,27.948605,3.8966281,34.98056,4.1487393
57,28.103283,3.3204958,35.023567,4.14946
58,28.047064,3.3806846,35.08047,4.1509066
59,28.217184,3.275447,35.151173,4.1531687
60,28.640238,3.7730772,35.235447,4.156336
61,29.302053,3.6564214,35.332893,4.1604896
62,28.816172,3.2664552,35.443,4.1657057
63,29.21194,3.898065,35.56514,4.172051
64,29.326084,3.7157204,35.698616,4.1795897
65,29.248165,3.8310003,35.842686,4.1883945
66,29.301107,3.5065603,35.99659,4.198542
67,29.704355,3.4636872,36.159588,4.2101264
68,29.780462,3.893855,36.330944,4.2232594
69,29.853565,3.7922156,36.509987,4.238061
70,30.164333,3.778638,36.696064,4.254655
71,30.536642,3.9835973,36.888565,4.2731714
72,30.425648,3.8071966,37.086906,4.2937293
73,30.551294,4.2340493,37.290516,4.3164473
74,31.134954,4.3356576,37.498867,4.3414397
75,31.311207,4.698735,37.71141,4.3688097
76,31.338917,4.9211273,37.927635,4.398646
77,31.400387,4.836202,38.147022,4.431021
78,31.856659,4.3521185,38.369057,4.465958
79,31.787384,4.5800433,38.59322,4.503453
80,32.005318,4.7126045,38.81898,4.5434394
81,32.346153,4.8181834,39.045815,4.585816
82,32.79711,4.6266656,39.273155,4.6304226
83,32.691265,5.3554716,39.50047,4.677065
84,32.777622,5.1483836,39.72719,4.7255287
85,32.866062,5.056692,39.9528,4.7755685
86,33.1901,4.813748,40.17678,4.826949
87,33.528313,5.359666,40.398643,4.8794327
88,33.681755,5.865225,40.61791,4.932801
89,33.559776,5.7188215,40.83409,4.9868655
90,33.660145,5.6385956,41.046726,5.0414805
91,33.746746,5.705583,41.255287,5.0965495
92,33.662437,5.889377,41.459267,5.1519985
93,34.39242,6.2950726,41.658115,5.2077575
94,34.926826,5.993768,41.85128,5.263755
95,34.593334,6.2144895,42.038216,5.31989
96,34.80793,6.573309,42.218388,5.376047
97,34.46525,7.0212803,42.39129,5.432108
98,34.658577,6.9585032,42.55644,5.487963
99,34.9607,7.2483454,42.713345,5.5435286
100,35.299343,7.136856,42.861526,5.5987506
101,35.16181,7.1111794,43.00048,5.6536145
102,35.309887,7.3499546,43.129726,5.708161
103,35.373436,7.5401735,43.248764,5.762478
104,35.73304,7.4826126,43.357155,5.816704
105,35.549965,7.791117,43.454487,5.8710065
106,35.135708,7.6637254,43.540398,5.9255624
107,35.532417,7.6583996,43.614613,5.9805393
108,35.83949,7.555581,43.676926,6.036091
109,35.43499,7.903671,43.727257,6.092327
110,35.93044,8.071794,43.765617,6.1493053
111,35.7937,8.496093,43.792225,6.2070394
112,36.014122,8.445997,43.80742,6.2654433
113,35.801083,8.207646,43.81175,6.324371
114,35.60149,8.7042055,43.80589,6.383598
115,36.302513,8.5364685,43.79067,6.4428477
116,35.716927,8.469987,43.76704,6.5018086
117,35.62248,8.612475,43.73605,6.5601606
118,35.891945,8.833302,43.69886,6.6175866
119,35.931934,8.665384,43.65676,6.673774
120,35.862423,9.049081,43.61117,6.7284155
121,36.175518,9.028812,43.563705,6.7811866
122,36.034473,9.099701,43.51615,6.8317122
123,35.8688,9.386909,43.47052,6.879593
124,35.99021,9.076124,43.428986,6.924361
125,35.72271,8.928248,43.393917,6.9654975
126,35.7248,9.27147,43.36783,7.002455
127,35.59873,9.745735,43.353355,7.034641
128,35.324577,9.261149,43.353195,7.0614753
129,35.41651,9.416047,43.37005,7.0824084
130,35.366467,9.764114,43.406593,7.09697
131,35.62827,9.61655,43.465363,7.104767
132,35.73818,9.361378,43.5487,7.105524
133,35.453423,9.845495,43.658695,7.09911
134,35.294605,9.652198,43.79713,7.0855203
135,35.30351,9.599894,43.96544,7.064886
136,35.312023,10.061165,44.16465,7.0374393
137,35.058277,10.134028,44.395393,7.003495
138,35.2623,9.52708,44.65786,6.963425
139,35.36739,9.873779,44.951805,6.9176617
140,35.24891,9.713659,45.27659,6.866699
141,35.468494,9.190074,45.631138,6.811122
142,35.151077,9.318406,46.01399,6.7516236
143,34.982758,9.306268,46.423336,6.689038
144,34.968124,8.905473,46.85704,6.624347
145,35.073097,9.27898,47.312653,6.5587044
146,35.03578,9.258182,47.78748,6.493427
147,35.18168,9.075686,48.278633,6.430005
148,35.32903,9.121779,48.783115,6.3701096
149,35.5283,8.791959,49.29789,6.3155956
150,35.0835,8.768241,49.82003,6.2684827
151,35.304733,9.045532,50.346783,6.2308903
152,35.6099,8.488988,50.875698,6.204936
153,35.334835,8.664315,51.404675,6.192619
154,35.77581,8.86028,51.932037,6.1956773
155,35.947697,8.205588,52.456593,6.21549
156,36.06011,8.2789345,52.977684,6.252946
157,35.853092,8.422106,53.49529,6.3084164
158,36.290195,8.580633,54.00995,6.381671
159,37.134567,8.54255,54.52291,6.4719305
160,36.553886,8.27473,55.036125,6.5778813
161,37.257393,8.437736,55.55224,6.6977468
162,37.689034,8.536238,56.074566,6.8293242
163,37.74395,8.94216,56.607063,6.9700904
164,38.11168,8.680915,57.154217,7.117191
165,38.972343,9.187544,57.720997,7.267545
166,39.839363,8.908597,58.3126,7.417899
167,40.29047,8.97467,58.93435,7.5649023
168,40.817196,8.659974,59.59148,7.705226
169,41.201164,9.431723,60.28896,7.835693
170,41.700634,8.997215,61.03136,7.9534163
171,42.263863,9.244165,61.82268,8.055936
172,43.55232,9.716767,62.666237,8.141289
173,44.127907,9.647512,63.564556,8.208051
174,44.275738,9.571501,64.519226,8.255346
175,44.862877,10.014948,65.530914,8.282902
176,45.254745,9.991722,66.599396,8.29108
177,45.737858,10.365123,67.72374,8.2809725
178,46.208076,10.224831,68.902435,8.254362
179,47.26809,10.306966,70.13357,8.213666
180,47.859344,10.171407,71.41485,8.161768
181,48.474476,10.400064,72.74367,8.101876
182,48.88061,10.245845,74.11708,8.037362
183,49.174976,10.652006,75.531845,7.971641
184,49.577557,10.699108,76.98452,7.908083
185,50.752373,10.8167715,78.471344,7.8498945
186,51.02851,11.225079,79.98847,7.8000393
187,51.37627,10.768439,81.5319,7.7611322
188,51.60498,10.977248,83.09755,7.7353563
189,52.545753,11.369043,84.68132,7.724394
190,52.581017,11.273969,86.27913,7.729382
191,52.541206,11.400666,87.88692,7.7509346
192,52.780647,11.121369,89.50075,7.7891555
193,53.589058,11.451069,91.1168,7.8437357
194,53.80821,11.595887,92.73135,7.9140453
195,54.26836,11.23854,94.34096,7.9992223
196,54.632477,12.275233,95.94226,8.098284
197,55.089073,11.450975,97.53221,8.210182
198,55.63149,11.342425,99.10799,8.333876
199,56.889793,11.861967,100.66708,8.468376
200,56.68354,11.857594,102.20738,8.612777
201,56.22928,12.060643,103.72719,8.766271
202,56.83506,12.467139,105.22534,8.928157
203,57.748913,12.171286,106.70128,9.097839
204,57.52157,11.560045,108.154884,9.274814
205,57.779335,12.499633,109.586716,9.458598
206,58.478046,12.545999,110.99779,9.648727
207,59.227974,12.4843025,112.389626,9.844654
208,59.913124,13.311523,113.76412,10.045742
209,59.69288,12.98258,115.123634,10.251254
210,60.468597,12.670148,116.47074,10.460347
211,61.155373,12.679198,117.80825,10.672105
212,61.734486,12.947927,119.1392,10.885588
213,63.04969,13.417143,120.46664,11.099897
214,63.188354,13.289128,121.79376,11.314209
215,64.979805,14.272605,123.123764,11.527849
216,65.50032,14.028138,124.45994,11.740292
217,66.123474,13.915725,125.8056,11.951183
218,67.124435,14.15559,127.16416,12.16032
219,68.066025,14.468882,128.53914,12.36766
220,68.576675,14.73612,129.93405,12.573222
221,70.85582,15.649629,131.35246,12.777094
222,70.738205,15.653519,132.79791,12.979357
223,71.955246,16.452532,134.27379,13.180051
224,72.64209,16.73316,135.78328,13.379152
225,72.480484,16.509434,137.32927,13.576533
226,74.560074,16.729525,138.91434,13.771974
227,75.89385,17.338926,140.54068,13.965144
228,76.858086,17.295208,142.21028,14.155661
229,77.88476,17.57967,143.92471,14.34306
230,78.70488,18.257008,145.6854,14.5268755
231,79.83054,18.043526,147.49345,14.706643
232,80.765015,18.8854,149.34978,14.881935
233,82.00949,20.115782,151.25504,15.052417
234,82.892624,19.75774,153.2095,15.217856
235,84.86213,20.69727,155.21329,15.378148
236,84.772354,19.339222,157.26605,15.533325
237,85.95647,19.972311,159.36713,15.683511
238,87.74873,20.668522,161.51552,15.828924
239,88.1638,20.42842,163.7099,15.969791
240,89.199295,20.552855,165.9486,16.106363
241,90.24758,20.259409,168.22964,16.238895
242,91.54155,20.996542,170.55084,16.367615
243,92.28487,22.310276,172.90971,16.492743
244,93.95289,21.970778,175.30345,16.614548
245,95.315506,22.654627,177.72903,16.733368
246,96.13359,23.23807,180.18318,16.849634
247,97.40099,23.349236,182.66238,16.963932
248,99.197525,23.61385,185.16302,17.076982
249,99.78166,23.248716,187.68153,17.189669
250,101.21366,24.06193,190.21436,17.302952
251,101.698135,23.617579,192.75806,17.417862
252,102.748024,23.845646,195.30945,17.535378
253,104.1484,23.980341,197.86551,17.656359
254,106.00627,24.407244,200.42352,17.78141
255,106.44734,25.354752,202.98099,17.910904
256,107.26402,25.191427,205.53568,18.0449
257,109.188965,25.716934,208.08554,18.183226
258,109.974075,25.837605,210.62874,18.325483
259,111.73015,26.115786,213.16367,18.471159
260,112.87779,26.765919,215.68881,18.619572
261,114.04509,27.16247,218.20291,18.76995
262,115.14323,27.54591,220.7048,18.921425
263,116.499,27.699963,223.19356,19.073015
264,117.7345,28.542164,225.66821,19.223644
265,118.86503,28.45698,228.12773,19.372126
266,121.24687,29.29464,230.57108,19.517069
267,122.7431,29.103983,232.99673,19.656885
268,124.144264,30.52498,235.40295,19.789646
269,125.51388,30.912004,237.78731,19.913103
270,126.57188,30.680681,240.14682,20.024738
271,128.37497,31.33048,242.47783,20.121946
272,129.98692,32.360092,244.77617,20.202438
273,131.44131,32.180008,247.03726,20.264645
274,132.64256,31.695797,249.25652,20.30813
275,133.53694,31.448755,251.42952,20.333822
276,134.82877,31.40999,253.55241,20.344051
277,136.53583,32.156994,255.62228,20.342361
278,137.78244,32.624344,257.63736,20.333305
279,139.20572,31.32368,259.5971,20.32238
280,140.46434,31.952057,261.5021,20.315933
281,142.13132,32.217216,263.3535,20.321175
282,143.11797,31.818455,265.15234,20.345984
283,144.66074,31.834742,266.89893,20.39859
284,145.56396,32.611702,268.59244,20.486862
285,146.4674,32.411736,270.23105,20.617552
286,147.43776,33.186863,271.81235,20.795404
287,148.92313,32.785847,273.33392,21.022488
288,149.29277,32.74181,274.79413,21.29771
289,150.1053,32.964916,276.1923,21.61672
290,151.77939,33.202515,277.52866,21.972034
291,152.40231,32.851673,278.80362,22.353462
292,152.15112,32.555134,280.0171,22.74862
293,153.33754,33.25029,281.1676,23.143698
294,153.43852,32.95245,282.25156,23.524292
295,154.42891,33.451332,283.263,23.876326
296,155.34062,32.09574,284.1936,24.186901
297,155.10402,32.663513,285.03284,24.444649
298,155.81285,33.91518,285.76868,24.639797
299,156.59685,33.941254,286.38812,24.763914
300,156.71335,33.540672,286.87805,24.809702
301,157.0712,33.375492,287.22598,24.771317
302,158.20921,33.41703,287.4205,24.645199
303,158.19943,34.2499,287.45212,24.43121
304,157.26523,34.034817,287.31366,24.133535
305,157.91487,34.018333,287.00046,23.761143
306,158.89594,34.469948,286.5109,23.326954
307,158.26328,34.307243,285.84576,22.846468
308,158.08643,34.93779,285.00797,22.335745
309,157.7566,34.900883,284.00183,21.809484
310,157.4155,34.63325,282.8323,21.279646
311,157.30374,34.1779,281.5047,20.754927
312,156.975,34.572033,280.0244,20.241102
313,156.35217,34.12117,278.3968,19.741726
314,155.65858,33.893734,276.6275,19.259214
315,155.33963,34.07276,274.72235,18.795734
316,154.88368,33.978355,272.68738,18.353825
317,154.74545,33.903877,270.52924,17.936907
318,154.44897,34.53253,268.25476,17.54942
319,153.9946,34.427635,265.87134,17.196821
320,153.67558,33.688557,263.38672,16.885212
321,154.34723,35.489803,260.8088,16.620684
322,154.5566,35.673676,258.14612,16.408327
323,153.5886,35.815792,255.40836,16.251448
324,153.59511,36.349262,252.60709,16.151062
325,153.0529,36.29954,249.75659,16.106197
326,152.5469,36.186802,246.87363,16.114538
327,152.6623,35.9774,243.97673,16.173338
328,152.84372,36.854435,241.08487,16.280031
329,152.5997,36.064598,238.21623,16.432402
330,152.63246,36.626637,235.38745,16.628433
331,152.83224,36.895508,232.61316,16.86582
332,152.73189,37.04616,229.90642,17.141449
333,152.50531,36.86023,227.27885,17.450901
334,152.66441,36.70555,224.74068,17.788269
335,152.95753,36.408043,222.30046,18.146284
336,153.18184,37.09721,219.96468,18.51691
337,153.61948,36.5228,217.73755,18.892185
338,153.9888,37.390495,215.62122,19.265171
339,153.30093,37.4969,213.61601,19.630627
340,153.67953,37.37394,211.72092,19.985275
341,153.21036,37.202717,209.93399,20.3273
342,152.2846,36.060734,208.2528,20.655273
343,152.2633,35.593536,206.67465,20.967054
344,151.67017,35.70534,205.19632,21.259148
345,150.60902,35.97746,203.81393,21.526863
346,150.55682,36.06594,202.5226,21.76519
347,151.08612,36.36614,201.31601,21.969831
348,150.08928,35.826366,200.18613,22.138237
349,149.47415,36.350945,199.12263,22.270077
350,149.56544,37.241463,198.11256,22.367376
351,148.46735,37.319065,197.14035,22.433872
352,147.43808,36.748653,196.1888,22.474104
353,146.89253,36.349197,195.24083,22.49224
354,145.87617,35.21695,194.28154,22.491125
355,144.75974,34.861313,193.29994,22.471836
356,143.51105,34.83673,192.2897,22.433878
357,143.01514,34.013966,191.24849,22.375704
358,141.18419,33.509666,190.1761,22.295546
359,140.83894,32.907497,189.07254,22.192135
360,139.77872,32.275707,187.93628,22.065418
361,138.92026,32.441494,186.76364,21.916866
362,137.896,31.890848,185.54909,21.749376
363,137.15076,31.300222,184.28592,21.566523
364,135.36317,31.2824,182.96758,21.371181
365,133.56094,30.297853,181.5886,21.164272
366,132.8021,29.809374,180.14543,20.94408
367,131.26683,30.54611,178.63753,20.706842
368,130.26463,30.029182,177.06752,20.4487
369,128.64279,29.455223,175.4415,20.168114
370,126.50104,29.056963,173.76889,19.86766
371,124.91984,28.9071,172.06215,19.554157
372,124.25281,28.037798,170.3359,19.23718
373,122.77417,27.14262,168.60635,18.926579
374,121.79659,27.187618,166.88988,18.63026
375,121.0694,26.755638,165.20206,18.352913
376,119.42606,26.01024,163.55656,18.096004
377,118.340065,25.621744,161.96468,17.858435
378,118.633255,26.028643,160.43512,17.637245
379,117.10399,24.85464,158.97461,17.428059
380,116.25681,24.200258,157.5886,17.22528
381,115.77937,23.854366,156.28171,17.022541
382,114.74115,23.234512,155.05826,16.813519
383,114.1636,23.05321,153.92216,16.593008
384,113.55399,22.846992,152.87704,16.357582
385,113.25165,22.866426,151.92616,16.105947
386,112.1509,22.226957,151.0723,15.838827
387,112.521194,21.961266,150.31705,15.55867
388,111.902756,21.508701,149.66035,15.269234
389,111.779465,20.988136,149.10022,14.975121
390,111.12618,20.683558,148.6329,14.681402
391,110.8632,20.520777,148.25334,14.393189
392,110.826706,20.775824,147.95518,14.115018
393,110.49642,20.036152,147.73126,13.850049
394,110.36792,19.50815,147.57333,13.599237
395,110.39282,19.336235,147.47261,13.361039
